status,n,mean_degree_z,mean_abnormal_neighbor_fraction,mean_sim_score,mean_sim_confidence,modB_available_fraction
fixed,22,0.16412028651546362,0.1890216187045076,0.5192235454545453,0.6087636363636365,0.7272727272727273
harmed,11,0.6108235810953826,0.09873240878639246,0.5416545454545455,0.6799363636363637,0.8181818181818182
