subject_id,error_mean_std,correct_mean_std,delta
sub-002,0.07688208964381019,0.05140867490320518,0.025473414740605008
sub-003,0.05534002558741569,0.0448159367347503,0.010524088852665384
sub-004,0.1220712317306813,0.05525214076744424,0.06681909096323706
sub-009,0.07850194836677121,0.06240211371293074,0.016099834653840475
sub-016,0.03581902715359793,0.048899893696523616,-0.013080866542925687
sub-020,0.057108103660426776,0.05706418334916772,4.39203112590561e-05
sub-022,0.003468459679551998,0.03369605744036327,-0.03022759776081127
sub-027,0.09428230930531613,0.037321581505132366,0.05696072780018376
sub-048,0.0333294353577719,0.057437589546890516,-0.024108154189118616
sub-055,0.08786533115252455,0.04373990910713379,0.044125422045390765
sub-057,0.07171155685577534,0.0471568466311917,0.024554710224583637
sub-061,0.07960554319977992,0.0510669906537333,0.028538552546046612
sub-066,0.028813940314691134,0.058599850202683976,-0.029785909887992842
sub-069,0.07007805371666295,0.06978133977830912,0.0002967139383538292
sub-076,0.05831424177290072,0.04081983560564147,0.017494406167259245
sub-079,0.031377903562434625,0.07375175771286782,-0.042373854150433196
sub-081,0.10898547088326718,0.03983169331418799,0.0691537775690792
sub-083,0.06338980576276372,0.0521044819336822,0.011285323829081519
sub-084,0.050869422389450074,0.0564123687736366,-0.005542946384186523
sub-094,0.06689546973461576,0.05815583187648282,0.008739637858132934
sub-104,0.042574584636188684,0.05734655487460412,-0.014771970238415436
sub-112,0.06861836226803682,0.047545423084142766,0.02107293918389405
sub-113,0.05950460794577984,0.034311061093721465,0.025193546852058372
sub-118,0.03502512198647682,0.05071006774585764,-0.015684945759380814
sub-119,0.05073487673420715,0.0641843901761381,-0.013449513441930946
sub-132,0.0434383996811358,0.03854525700789523,0.0048931426732405706
sub-133,0.033774311562273146,0.05351014330965334,-0.019735831747380195
sub-135,0.058602330705961506,0.042281644047738515,0.01632068665822299
