subject_id,node_id,ensemble_mean_graph_prob,ensemble_std,topk_error_flag
sub-002,0,0.09332491629790804,0.04807263381038684,0
sub-002,1,0.2537533407088449,0.06233082231947636,0
sub-002,2,0.0478722555619973,0.01749642489679887,0
sub-002,3,0.15763788060701817,0.03975228565928542,0
sub-002,4,0.1052149167437085,0.031820759833534336,0
sub-002,5,0.25475455518259943,0.09558724181990505,0
sub-002,6,0.10440870154883575,0.037134228896741915,0
sub-002,7,0.10289406716398228,0.04320930331385738,0
sub-002,8,0.043801858541475024,0.016168369686142547,0
sub-002,9,0.19982015191444935,0.0488896188645061,0
sub-002,10,0.382170651749345,0.1524164088339621,0
sub-002,11,0.2020242078981788,0.03949713959351761,0
sub-002,12,0.11571833351913288,0.05113116423055618,0
sub-002,13,0.08119097617753437,0.03988151515108876,0
sub-002,14,0.2907566936481779,0.06120287312583901,0
sub-002,15,0.8236808216184096,0.04554288306358652,0
sub-002,16,0.1769326598317183,0.06895564762062764,0
sub-002,17,0.1273686684884828,0.047007820903847065,0
sub-002,18,0.12899254441744076,0.0448117329104412,0
sub-002,19,0.12062694720556193,0.03909760133761526,0
sub-002,20,0.0821755477820642,0.03277517052172857,0
sub-002,21,0.5175223003327658,0.06459860642800644,1
sub-002,22,0.2567436615146707,0.06231696281113734,0
sub-002,23,0.062365840907720474,0.0327498778904441,0
sub-002,24,0.20414370541479449,0.0620663314837077,0
sub-002,25,0.047932652984487775,0.02439577855777197,0
sub-002,26,0.27280903012376995,0.06656555828549213,0
sub-002,27,0.24568522100520487,0.08512915948601064,0
sub-002,28,0.02150601874073605,0.011215665511558698,0
sub-002,29,0.13563018614182984,0.04094786492028902,0
sub-002,30,0.17252099882188757,0.05614093477608656,0
sub-002,31,0.06745109316172047,0.02587996924975669,0
sub-002,32,0.4007899449283533,0.1450598775156162,0
sub-002,33,0.14995115282055774,0.06932935371348627,0
sub-002,34,0.01858620931186233,0.01136592191194292,0
sub-002,35,0.09529067100984275,0.039840188287441194,0
sub-002,36,0.11503183602126188,0.038978854952462616,0
sub-002,37,0.06661132843963699,0.027091477520887294,0
sub-002,38,0.21385595663305673,0.08652713464935648,0
sub-002,39,0.3429264695409764,0.1151415768483706,0
sub-002,40,0.17920160126556703,0.05211711439646172,0
sub-002,41,0.05879439464067574,0.03356804373675266,0
sub-002,42,0.05707945162887438,0.018437405831316648,0
sub-002,43,0.1667653293927656,0.05156150170161312,0
sub-002,44,0.09234332490269713,0.037718627890884454,0
sub-002,45,0.36065324797732634,0.13084275273221072,0
sub-002,46,0.12726374247805086,0.04708597339734791,0
sub-002,47,0.09941448526816571,0.03533576954881687,0
sub-002,48,0.1381319724510422,0.04232689774705568,0
sub-002,49,0.4150056653746258,0.0837223936049542,0
sub-002,50,0.1416928629441995,0.05134154973477943,0
sub-002,51,0.16646218881655472,0.0490051975852629,0
sub-002,52,0.11653469011757504,0.04130593346606033,0
sub-002,53,0.18576431336950647,0.053574002041292965,0
sub-002,54,0.2922792993650375,0.082897477057813,1
sub-002,55,0.537573562597028,0.10117515191728166,1
sub-002,56,0.4967604718901365,0.07401923986013943,1
sub-002,57,0.20774539480829302,0.04621468842462822,0
sub-002,58,0.14354583945920124,0.04439945567121088,0
sub-002,59,0.17850593446852162,0.06135340435607387,0
sub-002,60,0.30621910610895486,0.0775076741884082,1
sub-002,61,0.18222923858688816,0.061094388411212404,1
sub-002,62,0.0354161161401655,0.020298363352495415,0
sub-002,63,0.01829759711872109,0.009982057645844911,0
sub-002,64,0.14625960959471104,0.04928437231299678,0
sub-002,65,0.24211407830903475,0.06902694923663945,0
sub-002,66,0.09133517582431651,0.0273268513262191,0
sub-002,67,0.16809701608790645,0.06798440349253877,0
sub-003,0,0.14084188494658456,0.03054178010802446,0
sub-003,1,0.08724402423403707,0.0245121460598398,0
sub-003,2,0.004043226238234837,0.0022140421100665404,0
sub-003,3,0.03103500188648965,0.012813223710386696,0
sub-003,4,0.3218023842409496,0.10584878101962027,0
sub-003,5,0.01850812055971773,0.01002019835244288,0
sub-003,6,0.07705241038363556,0.043859610340722735,0
sub-003,7,0.017800080586668064,0.00704326627386919,0
sub-003,8,0.2586793517954412,0.10017412235506591,0
sub-003,9,0.01210585196052583,0.004008498668875488,0
sub-003,10,0.01923338919505,0.0078070210165981134,0
sub-003,11,0.032570351314916396,0.014908987985393888,0
sub-003,12,0.025773004600087846,0.003874922873225759,0
sub-003,13,0.006840371367169905,0.0026212711977660346,0
sub-003,14,0.022690475376945095,0.010874727376060088,0
sub-003,15,0.05460577938591162,0.027113182009711946,0
sub-003,16,0.01615868777959238,0.0044353635689665955,0
sub-003,17,0.0015203065625507572,0.0006171581650074894,0
sub-003,18,0.022086151274875877,0.011022307958841912,0
sub-003,19,0.014349875119475424,0.008510641593735286,0
sub-003,20,0.054635712606141876,0.021202409808870015,0
sub-003,21,0.298933297865006,0.05186000547435758,0
sub-003,22,0.027788761533307123,0.011722891642309718,0
sub-003,23,0.7490513778267007,0.10419881810484798,1
sub-003,24,0.034601527237726235,0.020828205928010983,0
